 ID  NAME                          COUNTRY 
 --- ----------------------------- ------- 
   1 Real Madrid                   Spa    
   2 IBK                           Isl    
   3 RSC Anderlecht                Bel    
   4 Vejle BK                      Den    
   5 Uacute;jpesti D&oacute;zsa    Hun    
   6 FC Basle                      Sui    
   7 Celtic                        Sco    
   8 Rosenborg BK                  Nor    
   9 Galatasaray                   Tur    
  10 Bayern M&uuml;nchen           FRG    
  11 Olympique Marseille           Fra    
  12 Juventus                      Ita    
  13 Malm&ouml; FF                 Swe    
  14 SL Benfica                    Por    
  15 Wacker Innsbruck              Aut    
  16 Dinamo Kyiv                   URS    
  17 CSKA                          Bul    
  18 Panathinaikos                 Gre    
  19 Sliema Wanderers              Mlt    
  20 Gornik Zabrze                 Pol    
  21 FC Magdeburg                  GDR    
  22 TPS                           Fin    
  23 Aris Bonnevoie                Lux    
  24 FC Arges                      Rom    
  25 Waterford                     Irl    
  26 Omonia                        Cyp    
  27 w Panathinaikos had won       the    
  28 nd                            leg    
  29 Spartak Trnava                Tch    
  30 Derby County                  Eng    
  31 Ajax                          Ned    
  32 Ajax                          NULL   
  33 SC Bastia                     Fra    
  34 Atl&eacute;tico Madrid        Esp    
  35 Floriana                      Mlt    
  36 Ferencvarosi TC               Hun    
  37 FC Schalke 04                 FRG    
  38 FC Slavia                     Bul    
  39 Standard CL                   Bel    
  40 Sparta Praha                  Tch    
  41 Spartak Moskva                URS    
  42 FC Den Haag                   Ned    
  43 Vikingur                      Isl    
  44 Legia Warszawa                Pol    
  45 Ankarag&uuml;c&uuml;          Tur    
  46 Leeds United                  Eng    
  47 NK Hajduk                     Yug    
  48 Fredrikstad FK                Nor    
  49 SK Rapid                      Aut    
  50 PAOK                          Gre    
  51 FC Z&uuml;rich                Sui    
  52 Wrexham                       Wal    
  53 Sporting CP                   Por    
  54 Hibernian                     Sco    
  55 Rapid Bucuresti               Rom    
  56 Landskrona BoIS               Swe    
  57 Pezoporikos                   Cyp    
  58 Cork Hibernians               Irl    
  59 BK Fremad Amager              Den    
  60 KS Besa                       Alb    
  61 FC Carl Zeiss Jena            GDR    
  62 MP                            Fin    
  63 Red Boys Differdange          Lux    
  64 Milan                         Ita    
  65 Rapid Bucharest               Rom    
  66 Sparta Prague                 Tch    
