NAME                                              |SEASON    |PHASE                                             |TEAM1                                             |TEAM2                                             |LEG1_1     |LEG1_2     |LEG2_1     |LEG2_2     |TOTAL1     |TOTAL2     
Champions' Cup                                    |1955-56   |Semi-Finals                                       |Stade de Reims                                    |Hibernian (Edinburgh)                             |2          |0          |1          |0          |3          |0          
Champions' Cup                                    |1955-56   |Semi-Finals                                       |Real Madrid                                       |Milan AC                                          |4          |2          |1          |2          |5          |4          
Champions' Cup                                    |1955-56   |Quarter-Finals                                    |Stade de Reims                                    |Vörös Lobogó (Budapest)                           |4          |2          |4          |4          |8          |6          
Champions' Cup                                    |1955-56   |Quarter-Finals                                    |Djurg&aring;rdens IF                              |Hibernian (Edinburgh)                             |1          |3          |0          |1          |1          |4          
Champions' Cup                                    |1955-56   |Quarter-Finals                                    |SK Rapid Wien                                     |Milan AC                                          |1          |1          |2          |7          |3          |8          
Champions' Cup                                    |1955-56   |Quarter-Finals                                    |Real Madrid                                       |FK Partizan (Beograd)                             |4          |0          |0          |3          |4          |3          
Champions' Cup                                    |1955-56   |First Round                                       |AGF (Aarhus)                                      |Stade de Reims                                    |0          |2          |2          |2          |2          |4          
Champions' Cup                                    |1955-56   |First Round                                       |Vörös Lobogó (Budapest)                           |RSC Anderlecht                                    |6          |3          |4          |1          |10         |4          
Champions' Cup                                    |1955-56   |First Round                                       |Djurg&aring;rdens IF                              |Gwardia Warszawa                                  |0          |0          |4          |1          |4          |1          
Champions' Cup                                    |1955-56   |First Round                                       |Rot-Weiss Essen                                   |Hibernian (Edinburgh)                             |0          |4          |1          |1          |1          |5          
Champions' Cup                                    |1955-56   |First Round                                       |Milan AC                                          |1.FC Saarbrücken                                  |3          |4          |4          |1          |7          |5          
Champions' Cup                                    |1955-56   |First Round                                       |SK Rapid Wien                                     |PSV (Eindhoven)                                   |6          |1          |0          |1          |6          |2          
Champions' Cup                                    |1955-56   |First Round                                       |Sporting CP (Lisboa)                              |FK Partizan (Beograd)                             |3          |3          |2          |5          |5          |8          
Champions' Cup                                    |1955-56   |First Round                                       |Servette FC (Genève)                              |Real Madrid                                       |0          |2          |0          |5          |0          |7          
Inter-Cities Fairs Cup                            |1955-58   |Semi-Finals                                       |Lausanne-Sports                                   |London XI                                         |2          |1          |0          |2          |2          |3          
Inter-Cities Fairs Cup                            |1955-58   |Semi-Finals                                       |Birmingham City                                   |FC Barcelona                                      |4          |3          |0          |1          |4          |4          
Champions' Cup                                    |1956-57   |Semi-Finals                                       |Red Star (Belgrade)                               |AC Fiorentina                                     |0          |1          |0          |0          |0          |1          
Champions' Cup                                    |1956-57   |Semi-Finals                                       |Real Madrid                                       |Manchester United                                 |3          |1          |2          |2          |5          |3          
Champions' Cup                                    |1956-57   |Quarter-Finals                                    |AC Fiorentina                                     |Grasshopper-Club Zurich                           |3          |1          |2          |2          |5          |3          
Champions' Cup                                    |1956-57   |Quarter-Finals                                    |Red Star (Belgrade)                               |CDNA (Sofia)                                      |3          |1          |1          |2          |4          |3          
Champions' Cup                                    |1956-57   |Quarter-Finals                                    |Athletic Bilbao                                   |Manchester United                                 |5          |3          |0          |3          |5          |6          
Champions' Cup                                    |1956-57   |Quarter-Finals                                    |Real Madrid                                       |OGC Nice                                          |3          |0          |3          |2          |6          |2          
Champions' Cup                                    |1956-57   |First Round                                       |AC Fiorentina                                     |IFK Norrkoping                                    |1          |1          |1          |0          |2          |1          
Champions' Cup                                    |1956-57   |First Round                                       |Slovan Bratislava                                 |Grasshopper-Club Zurich                           |1          |0          |0          |2          |1          |2          
Champions' Cup                                    |1956-57   |First Round                                       |CDNA (Sofia)                                      |Dinamo Bucharest                                  |8          |1          |2          |3          |10         |4          
Champions' Cup                                    |1956-57   |First Round                                       |Rapid JC Heerlen                                  |Red Star (Belgrade)                               |3          |4          |0          |2          |3          |6          
Champions' Cup                                    |1956-57   |First Round                                       |Manchester United                                 |Borussia Dortmund                                 |3          |2          |0          |0          |3          |2          
Champions' Cup                                    |1956-57   |First Round                                       |Athletic Bilbao                                   |Honved                                            |3          |2          |3          |3          |6          |5          
Champions' Cup                                    |1956-57   |First Round                                       |Rangers                                           |OGC Nice                                          |2          |1          |1          |2          |3          |3          
Champions' Cup                                    |1956-57   |First Round                                       |Real Madrid                                       |SK Rapid Vienna                                   |4          |2          |1          |3          |5          |5          
Champions' Cup                                    |1956-57   |Preliminary Round                                 |Slovan Bratislava                                 |CWKS Warsaw                                       |4          |0          |0          |2          |4          |2          
Champions' Cup                                    |1956-57   |Preliminary Round                                 |Dinamo Bucharest                                  |Galatasaray                                       |3          |1          |1          |2          |4          |3          
Champions' Cup                                    |1956-57   |Preliminary Round                                 |Borussia Dortmund                                 |CA Spora Luxembourg                               |4          |3          |1          |2          |5          |5          
